Section,Page,Demo name,Example ID,Docs link,Environment,Docs OK,Docs note,Sandbox OK,Sandbox note
Data management,Binding to data,Understand binding as a reference,example10,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example10,prod,PASS,,PASS,
Data management,Binding to data,Working with a copy of data,example11,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example11,prod,PASS,,PASS,
Data management,Saving data,Save changes using a callback,example1,https://handsontable.com/docs/vue-data-grid/saving-data/#example1,prod,PASS,,PASS,
Data management,Events and hooks,External control,example3,https://handsontable.com/docs/vue-data-grid/events-and-hooks/#example3,prod,PASS,,PASS,
Data management,Events and hooks,The beforeKeyDown callback,example2,https://handsontable.com/docs/vue-data-grid/events-and-hooks/#example2,prod,PASS,,FAIL,"vite build fails: Missing ""./helpers/dom/event"" specifier in ""handsontable"" package — the import is not exposed by the published package exports map"
Data management,Export to Excel,Example,example1,https://handsontable.com/docs/vue-data-grid/export-to-excel/#example1,prod,PASS,,PASS,
Data management,Export to Excel,Multi-sheet export,example2,https://handsontable.com/docs/vue-data-grid/export-to-excel/#example2,prod,PASS,,PASS,
Data management,Export to Excel,Context menu,example3,https://handsontable.com/docs/vue-data-grid/export-to-excel/#example3,prod,PASS,,PASS,
Data management,Export to CSV,Export to file,example1,https://handsontable.com/docs/vue-data-grid/export-to-csv/#example1,prod,PASS,,PASS,
Data management,Export to CSV,Export as a JavaScript Blob object,example2,https://handsontable.com/docs/vue-data-grid/export-to-csv/#example2,prod,PASS,,PASS,
Data management,Export to CSV,Export as a string,example3,https://handsontable.com/docs/vue-data-grid/export-to-csv/#example3,prod,PASS,,PASS,
Data management,Export to CSV,Prevent CSV Injection attack,example4,https://handsontable.com/docs/vue-data-grid/export-to-csv/#example4,prod,PASS,,PASS,
Data management,Clipboard,Context menu,example1,https://handsontable.com/docs/vue-data-grid/basic-clipboard/#example1,prod,PASS,,PASS,
Data management,Clipboard,Trigger copy & cut programmatically,example3,https://handsontable.com/docs/vue-data-grid/basic-clipboard/#example3,prod,PASS,,PASS,
Data management,Clipboard,Copy with headers,example2,https://handsontable.com/docs/vue-data-grid/basic-clipboard/#example2,prod,PASS,,PASS,
Data management,Handling collaboration and simultaneous editing,Avoid overwriting a cell that's being edited,example1,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/collaboration/#example1,dev (staging),PASS,,PASS,
Accessories and menus,Context menu,Context menu with default options,example1,https://handsontable.com/docs/vue-data-grid/context-menu/#example1,prod,PASS,,PASS,
Accessories and menus,Context menu,Context menu with selected options,example2,https://handsontable.com/docs/vue-data-grid/context-menu/#example2,prod,PASS,,PASS,
Accessories and menus,Context menu,Context menu with custom options,example4,https://handsontable.com/docs/vue-data-grid/context-menu/#example4,prod,PASS,,PASS,
Accessories and menus,Context menu,Menu item configuration options,example3,https://handsontable.com/docs/vue-data-grid/context-menu/#example3,prod,PASS,,PASS,
Accessories and menus,Column menu,Quick setup,example1,https://handsontable.com/docs/vue-data-grid/column-menu/#example1,prod,PASS,,PASS,
Accessories and menus,Column menu,Plugin configuration,example2,https://handsontable.com/docs/vue-data-grid/column-menu/#example2,prod,PASS,,PASS,
Accessories and menus,Drag to scroll,Enable drag to scroll,example1,https://handsontable.com/docs/vue-data-grid/drag-to-scroll/#example1,prod,PASS,,PASS,
Accessories and menus,Drag to scroll,Configure scroll speed,example2,https://handsontable.com/docs/vue-data-grid/drag-to-scroll/#example2,prod,PASS,,PASS,
Accessories and menus,Undo and redo,Basic demo,example,https://handsontable.com/docs/vue-data-grid/undo-redo/#example,prod,PASS,,PASS,
Accessories and menus,Empty Data State,Basic configuration,example1,https://handsontable.com/docs/vue-data-grid/empty-data-state/#example1,prod,PASS,empty grid is the demoed feature,PASS,
Accessories and menus,Empty Data State,Custom configuration,example2,https://handsontable.com/docs/vue-data-grid/empty-data-state/#example2,prod,PASS,empty grid is the demoed feature,PASS,
Accessories and menus,Empty Data State,Dynamic messages based on source,example3,https://handsontable.com/docs/vue-data-grid/empty-data-state/#example3,prod,PASS,empty grid is the demoed feature,PASS,
Accessories and menus,Dialog,Basic configuration,example1,https://handsontable.com/docs/vue-data-grid/dialog/#example1,prod,PASS,,PASS,
Accessories and menus,Dialog,Plain text content,example2,https://handsontable.com/docs/vue-data-grid/dialog/#example2,prod,PASS,,PASS,
Accessories and menus,Dialog,HTML content,example3,https://handsontable.com/docs/vue-data-grid/dialog/#example3,prod,PASS,,PASS,
Accessories and menus,Dialog,Template types,example4,https://handsontable.com/docs/vue-data-grid/dialog/#example4,prod,PASS,,PASS,
Accessories and menus,Dialog,Background variants,example5,https://handsontable.com/docs/vue-data-grid/dialog/#example5,prod,PASS,,PASS,
Accessories and menus,Dialog,Content background,example6,https://handsontable.com/docs/vue-data-grid/dialog/#example6,prod,PASS,,PASS,
Accessories and menus,Dialog,Dialog accessibility,example7,https://handsontable.com/docs/vue-data-grid/dialog/#example7,prod,PASS,,PASS,
Accessories and menus,Dialog,Show and hide dialog,example8,https://handsontable.com/docs/vue-data-grid/dialog/#example8,prod,PASS,,PASS,
Accessories and menus,Loading,Basic configuration,example1,https://handsontable.com/docs/vue-data-grid/loading/#example1,prod,PASS,,PASS,
Accessories and menus,Loading,Custom configuration,example2,https://handsontable.com/docs/vue-data-grid/loading/#example2,prod,PASS,,PASS,
Accessories and menus,Loading,Real-world usage,example3,https://handsontable.com/docs/vue-data-grid/loading/#example3,prod,PASS,"grid fills after clicking ""Load data"" — empty start is by design",PASS,
Accessories and menus,Loading,Loading with Pagination plugin,example4,https://handsontable.com/docs/vue-data-grid/loading/#example4,prod,PASS,"grid fills after clicking ""Load data"" — empty start is by design",PASS,
Accessories and menus,Notification,Basic configuration,example1,https://handsontable.com/docs/vue-data-grid/notification/#example1,prod,PASS,,PASS,
Accessories and menus,Notification,Toolbar actions (inventory-style),example2,https://handsontable.com/docs/vue-data-grid/notification/#example2,prod,PASS,,PASS,
Internationalization,Language,Demo,example1,https://handsontable.com/docs/vue-data-grid/language/#example1,prod,PASS,,PASS,
Internationalization,Layout direction,RTL demo,example1,https://handsontable.com/docs/vue-data-grid/layout-direction/#example1,prod,PASS,,PASS,
Internationalization,Layout direction,Set the layout direction automatically,example2,https://handsontable.com/docs/vue-data-grid/layout-direction/#example2,prod,PASS,,PASS,
Internationalization,Layout direction,Set the layout direction to RTL,example3,https://handsontable.com/docs/vue-data-grid/layout-direction/#example3,prod,PASS,,PASS,
Internationalization,Layout direction,Set the layout direction to LTR,example4,https://handsontable.com/docs/vue-data-grid/layout-direction/#example4,prod,PASS,,PASS,
Internationalization,Layout direction,Set the horizontal text alignment,example5,https://handsontable.com/docs/vue-data-grid/layout-direction/#example5,prod,PASS,,PASS,
Accessibility and navigation,Focus scopes,Inline scopes,example1,https://handsontable.com/docs/vue-data-grid/focus-scopes/#example1,prod,PASS,,PASS,
Accessibility and navigation,Focus scopes,Modal scopes,example2,https://handsontable.com/docs/vue-data-grid/focus-scopes/#example2,prod,PASS,,PASS,
Accessibility and navigation,Searching values,Simplest use case,example1,https://handsontable.com/docs/vue-data-grid/searching-values/#example1,prod,PASS,,PASS,
Accessibility and navigation,Searching values,Custom search result class,example2,https://handsontable.com/docs/vue-data-grid/searching-values/#example2,prod,PASS,,PASS,
Accessibility and navigation,Searching values,Custom query method,example3,https://handsontable.com/docs/vue-data-grid/searching-values/#example3,prod,PASS,,PASS,
Accessibility and navigation,Searching values,Custom callback,example4,https://handsontable.com/docs/vue-data-grid/searching-values/#example4,prod,PASS,,PASS,
Accessibility and navigation,Accessibility,Accessible data grid demo,example2,https://handsontable.com/docs/vue-data-grid/accessibility/#example2,prod,PASS,,PASS,
Optimization,Batch operations,Live demo of the suspend feature,example1,https://handsontable.com/docs/vue-data-grid/batch-operations/#example1,prod,PASS,,PASS,
