Section,Page,Demo name,Example ID,Docs link,Environment,Docs OK,Docs note,Sandbox OK,Sandbox note
Columns,Column widths,Set the column width using a function,example3,https://handsontable.com/docs/vue-data-grid/column-width/#example3,prod,PASS,,PASS,
Columns,Column widths,Set a dynamic maximum column width,example7,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/column-width/#example7,dev (staging),PASS,,PASS,
Columns,Column widths,Adjust the column width manually,example4,https://handsontable.com/docs/vue-data-grid/column-width/#example4,prod,PASS,,PASS,
Columns,Column widths,Fit all columns equally,example5,https://handsontable.com/docs/vue-data-grid/column-width/#example5,prod,PASS,,PASS,
Columns,Column widths,Stretch only the last column,example6,https://handsontable.com/docs/vue-data-grid/column-width/#example6,prod,PASS,,PASS,
Columns,Column summary,Column summary example,example1,https://handsontable.com/docs/vue-data-grid/column-summary/#example1,prod,PASS,,PASS,
Columns,Column summary,Step 5: Make room for the destination cell,example2,https://handsontable.com/docs/vue-data-grid/column-summary/#example2,prod,PASS,,PASS,
Columns,Column summary,"Set up column summaries, using a function",example7,https://handsontable.com/docs/vue-data-grid/column-summary/#example7,prod,PASS,,PASS,
Columns,Column summary,"Set up column summaries, using a function",example8,https://handsontable.com/docs/vue-data-grid/column-summary/#example8,prod,PASS,,PASS,
Columns,Column summary,Implement a custom summary function,example9,https://handsontable.com/docs/vue-data-grid/column-summary/#example9,prod,PASS,,PASS,
Columns,Column summary,Round a column summary result,example12,https://handsontable.com/docs/vue-data-grid/column-summary/#example12,prod,PASS,,PASS,
Columns,Column summary,Force numeric values,example10,https://handsontable.com/docs/vue-data-grid/column-summary/#example10,prod,PASS,,PASS,
Columns,Column summary,Throw data type errors,example11,https://handsontable.com/docs/vue-data-grid/column-summary/#example11,prod,PASS,,PASS,
Columns,Column virtualization,Configure the column virtualization,example1,https://handsontable.com/docs/vue-data-grid/column-virtualization/#example1,prod,PASS,,PASS,
Columns,Column filter,Filtering demo,exampleFilterBasicDemo,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleFilterBasicDemo,prod,PASS,,PASS,
Columns,Column filter,Enable filtering,exampleShowFilterItemsOnly,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleShowFilterItemsOnly,prod,PASS,,PASS,
Columns,Column filter,Enable filtering for individual columns,exampleEnableFilterInColumns,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleEnableFilterInColumns,prod,PASS,,PASS,
Columns,Column filter,Enable filtering within already filtered results,exampleSearchMode,https://handsontable.com/docs/vue-data-grid/column-filter/#exampleSearchMode,prod,PASS,,PASS,
